algorithm	n_articles	pct_missing_params	pct_missing_justification	pct_missing_evaluation	pct_missing_tuning	pct_missing_reporting_signals	delta_missing_reporting_vs_overall_pp	z_vs_overall	p_vs_overall	q_fdr_bh
k-means	51759	47.670936455495664	16.259974110782665	64.98386753994474	70.03033288896617	91.51451921404973	-6.382948138303135	-88.45591868926289	0.0	0.0
mini-batch k-means	201	32.33830845771144	8.457711442786069	57.711442786069654	57.711442786069654	86.06965174129353	-11.827815611059336	-11.676615798531358	0.0	0.0
k-medoids/PAM	10204	64.67071736573892	15.944727557820462	61.53469227753822	75.578204625637	93.09094472755783	-4.806522624795036	-33.028622171385614	0.0	0.0
c-means/fuzzy c-means	4564	48.88255915863278	23.773006134969325	70.53023663453111	66.06047326906223	93.55828220858896	-4.339185143763899	-20.22322017210444	0.0	0.0
hierarchical	110728	77.51878476988657	15.867711870529586	69.65537172169641	79.50473231702911	96.68737807961853	-1.2100892727343364	-24.99054146342017	0.0	0.0
ward	2602	65.60338201383551	15.103766333589547	67.02536510376633	78.97770945426595	95.38816295157571	-2.509304400777154	-8.883975470815123	0.0	0.0
DBSCAN	4625	44.88648648648649	15.005405405405405	65.1027027027027	67.97837837837838	90.16216216216216	-7.735305190190701	-36.09188090416382	0.0	0.0
HDBSCAN	976	41.08606557377049	13.524590163934427	55.43032786885246	64.03688524590164	86.98770491803279	-10.909762434320072	-23.650816332241607	0.0	0.0
OPTICS	75105	93.03375274615539	32.903268757073434	81.2928566673324	88.866253911191	99.54197456893682	1.6445072165839605	31.005556816116474	0.0	0.0
mean shift	2003	69.39590614078881	20.96854717923115	75.78632051922116	76.93459810284573	95.50673989016475	-2.39072746218811	-7.434122119896166	1.0524914273446484e-13	1.1787903986260062e-13
BIRCH	2373	79.05604719764011	21.196797302991992	66.45596291613991	81.9637589549094	96.16519174041298	-1.7322756119398832	-5.862829053004749	4.550466448094426e-09	4.9005023287170735e-09
spectral	3033	30.86053412462908	15.496208374546654	47.04912627761293	64.52357401912298	84.2400263765249	-13.657440975827967	-51.564835334341154	0.0	0.0
affinity propagation	1071	40.70961718020541	17.366946778711483	58.63678804855275	69.28104575163398	90.19607843137256	-7.701388920980307	-17.502581890204844	0.0	0.0
GMM/mixture	14821	56.50765805276297	16.90169354294582	58.653262263005196	68.26799811078875	91.48505498954187	-6.412412362810997	-52.139402927155736	0.0	0.0
DPM	1087	68.07727690892364	20.97516099356026	70.00919963201471	81.41674333026678	96.13615455381785	-1.761312798535016	-4.041533899153532	5.310270260050487e-05	5.310270260050487e-05
SOM	5715	63.114610673665794	19.247594050743658	66.2992125984252	73.43832020997375	94.13823272090988	-3.759234631442979	-19.5774779748161	0.0	0.0
neural gas	112	41.07142857142857	22.321428571428573	73.21428571428571	56.25	90.17857142857143	-7.718895923781432	-5.691653137975544	1.2581524266863653e-08	1.3047506647117862e-08
MCL	7663	80.66031580321022	23.867936839357952	63.09539344904085	84.10544173300273	96.60707294793161	-1.2903944044212494	-7.801501293433864	6.217248937900877e-15	7.568824793966285e-15
graph-based	3560	59.41011235955056	13.089887640449438	64.04494382022472	78.76404494382022	93.03370786516854	-4.863759487184325	-20.05220945055154	0.0	0.0
community detection	4719	28.544183089637635	15.766052129688493	32.231404958677686	74.65564738292011	85.10277601186692	-12.79469134048594	-59.799536458471536	0.0	0.0
louvain	8124	41.432791728212706	11.878385032003939	45.396356474643035	75.36927621861152	88.50320039389463	-9.394266958458232	-57.16609301018063	0.0	0.0
leiden	8101	64.9055672139242	17.084310578940872	63.81928157017652	79.07665720281447	92.59350697444759	-5.30396037790527	-32.590359511911984	0.0	0.0
SNN	3606	46.03438713255685	13.394342762063228	51.08153078202995	73.0726566833056	89.6838602329451	-8.213607119407769	-33.93597385154627	0.0	0.0
Phenograph	1015	49.85221674876847	18.620689655172413	65.71428571428571	80.09852216748769	91.6256157635468	-6.271851588806058	-13.8857956496909	0.0	0.0
Seurat	26728	65.78494462735708	13.1248129302604	67.9848847650404	77.85094283148757	94.54504639329542	-3.35242095905744	-36.369617251687544	0.0	0.0
Scanpy	4234	47.024090694378835	12.683042040623524	57.6995748700992	71.72886159659896	88.97024090694379	-8.927226445409076	-39.83765312022937	0.0	0.0
SC3	988	51.61943319838057	18.016194331983804	48.178137651821864	79.04858299595142	88.8663967611336	-9.031070591219262	-19.709739296187138	0.0	0.0
generic cluster*	595506	81.16358189506067	24.23233351133322	74.11109207967678	82.9118430376856	97.70111468230378	-0.1963526700490803	-7.502264098719077	6.261657858885883e-14	7.30526750203353e-14
